Year,Country_of_Origin_ISO,Country_of_Origin,Country_of_Asylum,Country_of_Asylum_ISO,Country_of_Resettlement_ISO,Country_of_Resettlement,Total_submissons_persons
2003,IRQ,"Iraq",All others,"All others",FRA,"France",1
2003,SYR,"Syrian Arab Rep.",All others,"All others",NLD,"Netherlands",1
2003,IRQ,"Iraq",CUB,"Cuba",NLD,"Netherlands",1
2003,IRQ,"Iraq",All others,"All others",GBR,"United Kingdom of Great Britain and Northern Ireland",68
2003,SYR,"Syrian Arab Rep.",All others,"All others",NOR,"Norway",1
2003,IRQ,"Iraq",All others,"All others",IRL,"Ireland",7
2003,SYR,"Syrian Arab Rep.",All others,"All others",NZL,"New Zealand",9
2003,IRQ,"Iraq",All others,"All others",ITA,"Italy",21
2003,SYR,"Syrian Arab Rep.",All others,"All others",SWE,"Sweden",4
2003,IRQ,"Iraq",All others,"All others",AUS,"Australia",177
2003,IRQ,"Iraq",All others,"All others",NLD,"Netherlands",15
2003,SYR,"Syrian Arab Rep.",All others,"All others",USA,"United States of America",5
2003,IRQ,"Iraq",All others,"All others",BRA,"Brazil",6
2003,IRQ,"Iraq",CUB,"Cuba",SWE,"Sweden",1
2003,IRQ,"Iraq",All others,"All others",NOR,"Norway",40
2003,IRQ,"Iraq",All others,"All others",CAN,"Canada",343
2003,IRQ,"Iraq",All others,"All others",NZL,"New Zealand",116
2003,IRQ,"Iraq",All others,"All others",CHE,"Switzerland",6
2003,IRQ,"Iraq",All others,"All others",SWE,"Sweden",140
2003,IRQ,"Iraq",All others,"All others",DEU,"Germany",73
2003,IRQ,"Iraq",All others,"All others",USA,"United States of America",101
2003,IRQ,"Iraq",All others,"All others",DNK,"Denmark",17
2003,SYR,"Syrian Arab Rep.",All others,"All others",AUS,"Australia",5
2003,IRQ,"Iraq",All others,"All others",FIN,"Finland",43
2003,SYR,"Syrian Arab Rep.",All others,"All others",CAN,"Canada",11
2004,IRQ,"Iraq",All others,"All others",FIN,"Finland",33
2004,SYR,"Syrian Arab Rep.",All others,"All others",NOR,"Norway",1
2004,IRQ,"Iraq",All others,"All others",GBR,"United Kingdom of Great Britain and Northern Ireland",15
2004,SYR,"Syrian Arab Rep.",All others,"All others",SWE,"Sweden",39
2004,IRQ,"Iraq",All others,"All others",NLD,"Netherlands",39
2004,SYR,"Syrian Arab Rep.",All others,"All others",USA,"United States of America",1
2004,IRQ,"Iraq",All others,"All others",NOR,"Norway",16
2004,IRQ,"Iraq",All others,"All others",NZL,"New Zealand",9
2004,IRQ,"Iraq",All others,"All others",SWE,"Sweden",153
2004,IRQ,"Iraq",All others,"All others",AUS,"Australia",109
2004,IRQ,"Iraq",All others,"All others",USA,"United States of America",2
2004,IRQ,"Iraq",All others,"All others",BRA,"Brazil",170
2004,SYR,"Syrian Arab Rep.",All others,"All others",AUS,"Australia",4
2004,IRQ,"Iraq",All others,"All others",CAN,"Canada",174
2004,SYR,"Syrian Arab Rep.",All others,"All others",CAN,"Canada",16
2004,IRQ,"Iraq",All others,"All others",DEU,"Germany",30
2004,SYR,"Syrian Arab Rep.",All others,"All others",DNK,"Denmark",12
2004,IRQ,"Iraq",All others,"All others",DNK,"Denmark",7
2004,SYR,"Syrian Arab Rep.",All others,"All others",NLD,"Netherlands",42
2005,IRQ,"Iraq",ECU,"Ecuador",SWE,"Sweden",3
2005,IRQ,"Iraq",All others,"All others",POL,"Poland",1
2005,IRQ,"Iraq",All others,"All others",SWE,"Sweden",164
2005,IRQ,"Iraq",All others,"All others",USA,"United States of America",245
2005,IRQ,"Iraq",All others,"All others",AUS,"Australia",309
2005,SYR,"Syrian Arab Rep.",All others,"All others",CAN,"Canada",15
2005,IRQ,"Iraq",All others,"All others",CAN,"Canada",152
2005,SYR,"Syrian Arab Rep.",All others,"All others",FIN,"Finland",4
2005,IRQ,"Iraq",All others,"All others",DNK,"Denmark",8
2005,SYR,"Syrian Arab Rep.",All others,"All others",NLD,"Netherlands",8
2005,IRQ,"Iraq",All others,"All others",FIN,"Finland",15
2005,IRQ,"Iraq",All others,"All others",GBR,"United Kingdom of Great Britain and Northern Ireland",12
2005,IRQ,"Iraq",All others,"All others",NLD,"Netherlands",39
2005,SYR,"Syrian Arab Rep.",All others,"All others",SWE,"Sweden",24
2005,IRQ,"Iraq",All others,"All others",NOR,"Norway",7
2005,IRQ,"Iraq",VEN,"Venezuela (Bolivarian Republic of)",AUS,"Australia",2
2005,SYR,"Syrian Arab Rep.",All others,"All others",USA,"United States of America",35
2005,IRQ,"Iraq",All others,"All others",NZL,"New Zealand",33
2006,IRQ,"Iraq",All others,"All others",USA,"United States of America",185
2006,IRQ,"Iraq",All others,"All others",AUS,"Australia",426
2006,SYR,"Syrian Arab Rep.",All others,"All others",AUS,"Australia",5
2006,IRQ,"Iraq",All others,"All others",CAN,"Canada",69
